Regime,Period,n,mean,median,win_rate
2013-2019,development,27,0.0003518290126455749,0.005513723470715215,0.5555555555555556
2020-2021,development,17,-0.012136474146772403,-0.0033955454221021864,0.47058823529411764
2022-2026,oos,14,0.006274552902674408,-0.003467947513088321,0.42857142857142855
