period,return_kind,threshold,holding_period,overlap,cost_bps_side,slippage_bps_side,raw_events,eligible_days,event_n,event_mean,event_median,event_std,event_win_rate,event_min,event_p05,event_p25,event_p75,event_p95,event_max,baseline_n,baseline_mean,baseline_median,baseline_std,baseline_win_rate,baseline_min,baseline_p05,baseline_p25,baseline_p75,baseline_p95,baseline_max,mean_difference,median_difference,win_rate_difference,ci_low,ci_high,p_positive,excess_ci_low,excess_ci_high,p_excess
development,gross,-0.02,5,nonoverlap,5,5,62,2117,44,-0.0024801505558025823,0.00622401198368383,0.039286685654641273,0.5227272727272727,-0.14379466136793206,-0.059738165636853684,-0.01653223238850629,0.021172012333384727,0.038740635790917716,0.05727638008849789,2117,0.00145913838926003,0.0024558172170328074,0.023378238359138017,0.5555030703826169,-0.18040690978886753,-0.034102159598822165,-0.010946770121415317,0.015044009486251175,0.034825334131239324,0.11151692062165242,-0.003939288945062612,0.003768194766651023,-0.03277579765534422,-0.014133671851316813,0.008280330866585086,0.6684438520493169,-0.015968049710401555,0.006861768031932496,0.748750416527824
development,net,-0.02,5,nonoverlap,5,5,62,2117,44,-0.0044731972080386435,0.004213574397303077,0.03920819077820844,0.5227272727272727,-0.14550536134521885,-0.061616810660556236,-0.01849720295316462,0.01913170861243918,0.03666522992520164,0.05516393976864076,2117,-0.0005417789701589632,0.00045290849132473276,0.023331528592186693,0.5092111478507322,-0.18204445842065786,-0.036032025413809385,-0.012922900450842878,0.013015949527237725,0.03275775104606208,0.10929610759343733,-0.00393141823787968,0.0037606659059783443,0.013516124876540525,-0.01610343474472068,0.006265784750967639,0.785071642785738,-0.015936145515175977,0.0068480582056948715,0.748750416527824
oos,gross,-0.02,5,nonoverlap,5,5,19,1083,14,0.008289116572149138,-0.0014728883489505407,0.03133945980477723,0.42857142857142855,-0.04079861111111116,-0.027719694190577966,-0.010042610339814434,0.02941495851712439,0.05835500893174642,0.07134674993252998,1083,0.001121890988867797,0.0015045994279532238,0.018642880493576507,0.5290858725761773,-0.06479177082616594,-0.030256504769296942,-0.009837445368981512,0.0136459620421715,0.028785921163785873,0.07216295143192264,0.007167225583281341,-0.0029774877769037644,-0.10051444400474879,-0.006918692000788426,0.025024496240980465,0.1509496834388537,-0.00859237666936167,0.024006128615261794,0.18760413195601466
oos,net,-0.02,5,nonoverlap,5,5,19,1083,14,0.006274552902674408,-0.003467947513088321,0.03127684350147094,0.42857142857142855,-0.04271509740259727,-0.02966231218420303,-0.012020547182292202,0.02735818537323409,0.056240413509305504,0.06920619698561192,1083,-0.0008783525495713908,-0.0004964087627118419,0.018605631981101826,0.4930747922437673,-0.06666031873660316,-0.032194054210317236,-0.011815792131480873,0.01162069538474475,0.026730404837784532,0.07002076771277799,0.007152905452245799,-0.002971538750376479,-0.06450336367233878,-0.008902870438349194,0.022976495249490053,0.2165944685104965,-0.008575209083608686,0.023958164322324203,0.18760413195601466
