EventIndex,EventDate,EventReturn,EntryDate,EntryPrice,ExitDate,ExitPrice,HoldingPeriod,ForwardReturn,NetReturn,Period
793,2016-04-05,-0.02005459778469787,2016-04-06,7636.0498046875,2016-04-12,7708.9501953125,5,0.00954687207255378,0.007529795405076145,development
848,2016-06-24,-0.021987932139331257,2016-06-27,8039.35009765625,2016-07-01,8328.349609375,5,0.035948118717084254,0.03387829230606121,development
940,2016-11-11,-0.026912611243878892,2016-11-15,8284.849609375,2016-11-21,7929.10009765625,5,-0.04293976698336077,-0.044851975241136155,development
1245,2018-02-02,-0.023264327729431322,2018-02-05,10604.2998046875,2018-02-09,10454.9501953125,5,-0.014083872780452866,-0.016053735172499972,development
1409,2018-10-04,-0.023852830796859514,2018-10-05,10514.099609375,2018-10-11,10234.650390625,5,-0.026578521141346845,-0.02852341920100443,development
1592,2019-07-08,-0.02138240331360608,2019-07-09,11531.599609375,2019-07-15,11588.349609375,5,0.004921260009223882,0.002913425323890939,development
1630,2019-09-03,-0.02044311880570615,2019-09-04,10790.400390625,2019-09-11,11035.7001953125,5,0.02273315130183895,0.020689728422115028,development
1732,2020-02-03,-0.021250384719316173,2020-02-04,11786.25,2020-02-10,12031.5,5,0.020808145084314278,0.018768568370859384,development
1746,2020-02-24,-0.02081386879900149,2020-02-25,11877.5,2020-03-02,11132.75,5,-0.06270258892864655,-0.06457531102868919,development
1755,2020-03-06,-0.024806975302821943,2020-03-09,10742.0498046875,2020-03-16,9197.400390625,5,-0.14379466136793206,-0.14550536134521885,development
1761,2020-03-17,-0.02504518409052825,2020-03-18,9088.4501953125,2020-03-24,7801.0498046875,5,-0.14165235688797584,-0.14336733719389394,development
1770,2020-03-30,-0.04378053643081892,2020-03-31,8529.349609375,2020-04-08,8748.75,5,0.02572299186609106,0.02367359527894597,development
1782,2020-04-21,-0.030274667144095657,2020-04-22,9026.75,2020-04-28,9380.900390625,5,0.0392334329215942,0.03715704244622642,development
1790,2020-05-04,-0.05744483901313502,2020-05-05,9429.400390625,2020-05-11,9239.2001953125,5,-0.020170974551213527,-0.022128674901760403,development
1798,2020-05-14,-0.025661909373274727,2020-05-15,9182.400390625,2020-05-21,9106.25,5,-0.00829308104477211,-0.010274513450276967,development
1817,2020-06-11,-0.021169158460066062,2020-06-12,9544.9501953125,2020-06-18,10091.650390625,5,0.05727638008849789,0.05516393976864076,development
1874,2020-08-31,-0.022330747801946216,2020-09-01,11464.2998046875,2020-09-07,11355.0498046875,5,-0.009529583303057865,-0.01150854517458011,development
1889,2020-09-21,-0.02211225483867385,2020-09-22,11301.75,2020-09-28,11227.5498046875,5,-0.006565372204525799,-0.008550256575745485,development
1906,2020-10-15,-0.02428360085835335,2020-10-16,11727.400390625,2020-10-22,11896.4501953125,5,0.014414942703127931,0.012388139620804095,development
1951,2020-12-21,-0.0314049525779333,2020-12-22,13373.650390625,2020-12-29,13932.599609375,5,0.041794813115634266,0.039713304997521126,development
1994,2021-02-22,-0.020428174591586412,2021-02-23,14782.25,2021-03-01,14761.5498046875,5,-0.001400341308833264,-0.0033955454221021864,development
2026,2021-04-12,-0.03532558930400764,2021-04-13,14364.900390625,2021-04-20,14296.400390625,5,-0.004768567698854698,-0.006757042089066689,development
2181,2021-11-26,-0.029071254187753914,2021-11-29,17055.80078125,2021-12-03,17196.69921875,5,0.00826102739514245,0.00624651984789959,development
2197,2021-12-20,-0.021842546279377872,2021-12-21,16773.150390625,2021-12-27,17086.25,5,0.018666714486146985,0.016631416355305628,development
2222,2022-01-24,-0.02656790518738339,2022-01-25,17001.55078125,2022-02-01,17576.849609375,5,0.033838020750404985,0.03177241031933531,oos
2236,2022-02-14,-0.03061622289529342,2022-02-15,16933.25,2022-02-21,17206.650390625,5,0.016145771817282606,0.014115510534930431,oos
2244,2022-02-24,-0.04778103847083648,2022-02-25,16515.650390625,2022-03-04,16245.349609375,5,-0.01636634191551034,-0.01833164392966491,oos
2250,2022-03-07,-0.02352668473994779,2022-03-08,15747.75,2022-03-14,16871.30078125,5,0.07134674993252998,0.06920619698561192,oos
2288,2022-05-04,-0.022936183451936376,2022-05-05,16854.75,2022-05-11,16167.099609375,5,-0.04079861111111116,-0.04271509740259727,oos
2294,2022-05-12,-0.022211752141785834,2022-05-13,15977.0,2022-05-19,15809.400390625,5,-0.010490055040057622,-0.012467097887130296,oos
2316,2022-06-13,-0.026379749115209128,2022-06-14,15674.25,2022-06-20,15350.150390625,5,-0.020677200464137013,-0.022633889374298444,oos
2712,2024-01-17,-0.020894393512082443,2024-01-18,21414.19921875,2024-01-25,21352.599609375,5,-0.002876577767197741,-0.0048688323570733605,oos
2802,2024-06-04,-0.05929359941641077,2024-06-05,22128.349609375,2024-06-11,23264.849609375,5,0.051359456085170674,0.04925883779129436,oos
2844,2024-08-05,-0.02678645789462286,2024-08-06,24189.849609375,2024-08-12,24347.0,5,0.0064965426888845546,0.0044855605856100045,oos
2885,2024-10-03,-0.021196375260987388,2024-10-04,25181.900390625,2024-10-10,24998.44921875,5,-0.007285040804279275,-0.009268487276198778,oos
3012,2025-04-07,-0.03243254628305536,2025-04-08,22446.75,2025-04-16,23437.19921875,5,0.0441243930078965,0.04203823038450394,oos
3243,2026-03-13,-0.02064586811222946,2026-03-16,23116.099609375,2026-03-20,23114.5,5,-6.919893070334027e-05,-0.002067062669103281,oos
3249,2026-03-23,-0.026037751600726855,2026-03-24,22878.44921875,2026-04-01,22679.400390625,5,-0.00870027623908487,-0.010680895067777918,oos
