period,return_kind,threshold,holding_period,overlap,cost_bps_side,slippage_bps_side,raw_events,eligible_days,event_n,event_mean,event_median,event_std,event_win_rate,event_min,event_p05,event_p25,event_p75,event_p95,event_max,baseline_n,baseline_mean,baseline_median,baseline_std,baseline_win_rate,baseline_min,baseline_p05,baseline_p25,baseline_p75,baseline_p95,baseline_max,mean_difference,median_difference,win_rate_difference,ci_low,ci_high,p_positive,excess_ci_low,excess_ci_high,p_excess
development,gross,-0.015,1,nonoverlap,5,5,120,2177,110,-0.0003264649086650816,-0.0012932682152265174,0.01475284518560991,0.44545454545454544,-0.03428506823022115,-0.020169823345747972,-0.007536310730029527,0.005632524026334851,0.017294005029062372,0.09306520074345537,2177,-0.0007820136958852921,-0.0005644232588466469,0.009050648991642004,0.463481855764814,-0.06817998418966897,-0.015013089094412258,-0.005195525322698957,0.0038160552404600256,0.01222911979635217,0.09306520074345537,0.0004555487872202105,-0.0007288449563798705,-0.01802731031026855,-0.0028480593453922847,0.0024308642551696116,0.6001332889036988,-0.0020771025530456405,0.0032593135133717525,0.3702099300233256
development,net,-0.015,1,nonoverlap,5,5,120,2177,110,-0.0023238146291271874,-0.0032886862607504064,0.014723368971452851,0.39090909090909093,-0.03621456859339722,-0.022127525996405724,-0.009519255164135237,0.0036232682340744393,0.015261449574458949,0.09088125428842364,2177,-0.0027784532289603383,-0.0025612975380495673,0.00903256577687349,0.3481855764813964,-0.07004176244303628,-0.016981094910407224,-0.007183146650725392,0.0018104287564630894,0.010206683992563277,0.09088125428842364,0.00045463859983315086,-0.0007273887227008391,0.04272351442769451,-0.004840370915131667,0.00042800538552901726,0.9626791069643452,-0.0020729524979946155,0.0032528013984599075,0.3702099300233256
development,gross,-0.015,3,nonoverlap,5,5,120,2147,97,0.003462899649024887,0.006513889954503638,0.027373680854365985,0.6185567010309279,-0.11005989535403471,-0.03351860056154769,-0.010668955428629445,0.01760883903623056,0.037135811530819386,0.10106015447463923,2147,0.0003519680137393323,0.0012040539200213196,0.01743385281626838,0.5337680484396833,-0.1167108223779264,-0.026317943136779397,-0.010149907680813142,0.010144766046774611,0.024654792731282835,0.11959691917230253,0.0031109316352855546,0.005309836034482318,0.08478865259124457,-0.0020627983233215026,0.008680730682855122,0.10863045651449517,-0.002545460194871483,0.008396328393436672,0.1316227924025325
development,net,-0.015,3,nonoverlap,5,5,120,2147,97,0.0014579787706053733,0.004502873191358114,0.02731898818532629,0.5979381443298969,-0.11183799746121925,-0.0354496323286575,-0.01264564083236841,0.015575654542651751,0.03506361210718158,0.09886023408607869,2147,-0.001646737217057238,-0.0007963537801184417,0.017399019943508603,0.4806707033069399,-0.11847563591962884,-0.02826336183181064,-0.012127630142989176,0.008126494785942073,0.022607530408143537,0.11735996229083945,0.0031047159876626115,0.005299226971476556,0.117267441022957,-0.004056678846151911,0.006665384567604784,0.3052315894701766,-0.0025403743603163087,0.008379552512530706,0.1316227924025325
development,gross,-0.015,5,nonoverlap,5,5,120,2117,86,0.003935197873966876,0.009122311130972172,0.03270374879089455,0.6162790697674418,-0.14379466136793206,-0.028334943543420144,-0.013693138730487997,0.021902650655411693,0.04115446806712425,0.0709284145992215,2117,0.00145913838926003,0.0024558172170328074,0.023378238359138017,0.5555030703826169,-0.18040690978886753,-0.034102159598822165,-0.010946770121415317,0.015044009486251175,0.034825334131239324,0.11151692062165242,0.002476059484706846,0.006666493913939364,0.06077599938482492,-0.003341290013801539,0.010423247489979026,0.12529156947684106,-0.0050917673482792246,0.009342706688174836,0.246917694101966
development,net,-0.015,5,nonoverlap,5,5,120,2117,86,0.0019293333427502632,0.0071060827371042246,0.0326384066354682,0.6162790697674418,-0.14550536134521885,-0.030276332267609007,-0.015663781809947486,0.019860887117638892,0.03907423935969745,0.06878869748713523,2117,-0.0005417789701589632,0.00045290849132473276,0.023331528592186693,0.5092111478507322,-0.18204445842065786,-0.036032025413809385,-0.012922900450842878,0.013015949527237725,0.03275775104606208,0.10929610759343733,0.0024711123129092264,0.006653174245779492,0.10706792191670966,-0.005332616107679945,0.00840441982266647,0.28890369876707767,-0.005081593986944023,0.00932403994154512,0.246917694101966
development,gross,-0.015,10,nonoverlap,5,5,118,2042,66,0.012455065121284921,0.013582518448657321,0.03961335590757585,0.6363636363636364,-0.12006312815723008,-0.043651949812491014,-0.012301321676581545,0.03388511918280879,0.07622250211698128,0.12987602473795268,2042,0.003942745735316124,0.005887935116687726,0.033980583213497034,0.5754162585700294,-0.2915458279965225,-0.04643994928004723,-0.01422291664585576,0.023231016477875732,0.05091367204038063,0.17798627119871258,0.008512319385968796,0.0076945833319695955,0.06094737779360693,0.002784987743176299,0.021928652282461995,0.005664778407197601,-0.0018737772887672875,0.01876747978220728,0.060313228923692105
development,net,-0.015,10,nonoverlap,5,5,118,2042,66,0.010432177878285438,0.01155737855165706,0.03953420834332494,0.6212121212121212,-0.12182124378528747,-0.04556273512755088,-0.014274745609295675,0.031819414648977085,0.07407220740745696,0.12761853018303193,2042,0.0019368661234574584,0.003878169012558663,0.03391268994034319,0.545543584720862,-0.29296132084767823,-0.048345164166600514,-0.01619250122798188,0.021186598862535377,0.048813944423916455,0.17563265227523894,0.00849531175482798,0.007679209539098397,0.07566853649125926,0.0007814213340991149,0.019886836793386244,0.014661779406864379,-0.0018700334780005227,0.018729982320104952,0.060313228923692105
development,gross,-0.02,1,nonoverlap,5,5,62,2177,56,-0.00027050144381702515,-0.0019501493724729535,0.01897249065176862,0.4107142857142857,-0.03428506823022115,-0.024563901970201973,-0.007503651972686515,0.0066622554735212836,0.019545100488938705,0.09306520074345537,2177,-0.0007820136958852921,-0.0005644232588466469,0.009050648991642004,0.463481855764814,-0.06817998418966897,-0.015013089094412258,-0.005195525322698957,0.0038160552404600256,0.01222911979635217,0.09306520074345537,0.000511512252068267,-0.0013857261136263066,-0.05276757005052829,-0.004813655602060459,0.0048199538491812185,0.530156614461846,-0.004046622142624885,0.005640297467220726,0.4011996001332889
development,net,-0.02,1,nonoverlap,5,5,62,2177,56,-0.0022679629793937095,-0.003944254968132166,0.01893458357753931,0.39285714285714285,-0.03621456859339722,-0.026512825242988675,-0.00948666165905468,0.00465094227577223,0.01750804734110878,0.09088125428842364,2177,-0.0027784532289603383,-0.0025612975380495673,0.00903256577687349,0.3481855764813964,-0.07004176244303628,-0.016981094910407224,-0.007183146650725392,0.0018104287564630894,0.010206683992563277,0.09088125428842364,0.0005104902495666288,-0.0013829574300825986,0.04467156637574643,-0.006802039906551748,0.002812321573758385,0.8150616461179607,-0.004038536983498759,0.0056290281416119066,0.4011996001332889
