Date,Open,High,Low,Close,SourceRow,CloseReturn
2013-01-02,5982.60009765625,6006.0498046875,5982.0,5993.25,0,
2013-01-03,6015.7998046875,6017.0,5986.5498046875,6009.5,1,0.0027113836399281777
2013-01-04,6011.9501953125,6020.75,5981.5498046875,6016.14990234375,2,0.0011065649960479984
2013-01-07,6042.14990234375,6042.14990234375,5977.14990234375,5988.39990234375,3,-0.004612584535034436
2013-01-08,5983.4501953125,6007.0498046875,5964.39990234375,6001.7001953125,4,0.0022210094826073945
2013-01-09,6006.2001953125,6020.10009765625,5958.4501953125,5971.5,5,-0.005031940005281732
2013-01-10,5998.7998046875,6005.14990234375,5947.2998046875,5968.64990234375,6,-0.00047728337205898974
2013-01-11,6012.39990234375,6018.85009765625,5940.60009765625,5951.2998046875,7,-0.0029068713930493484
2013-01-14,5967.2001953125,6036.89990234375,5962.14990234375,6024.0498046875,8,0.01222422031951731
2013-01-15,6037.85009765625,6068.5,6018.60009765625,6056.60009765625,9,0.005403390414106646
2013-01-16,6049.0,6055.9501953125,5992.0498046875,6001.85009765625,10,-0.00903972511263984
2013-01-17,6001.25,6053.2001953125,5988.10009765625,6039.2001953125,11,0.0062230973863934835
2013-01-18,6059.85009765625,6083.39990234375,6048.2998046875,6064.39990234375,12,0.0041726894648748125
2013-01-21,6085.75,6094.35009765625,6065.10009765625,6082.2998046875,13,0.002951636210011932
2013-01-22,6080.14990234375,6101.2998046875,6040.5,6048.5,14,-0.00555707639755787
2013-01-23,6052.85009765625,6069.7998046875,6021.14990234375,6054.2998046875,15,0.0009588831425146882
2013-01-24,6046.2001953125,6065.2998046875,6007.85009765625,6019.35009765625,16,-0.005772708349228162
2013-01-25,6024.5,6080.5498046875,6014.4501953125,6074.64990234375,17,0.009187005871120979
2013-01-28,6082.10009765625,6088.39990234375,6061.39990234375,6074.7998046875,18,2.467670502159791e-05
2013-01-29,6064.7001953125,6111.7998046875,6042.4501953125,6049.89990234375,19,-0.004098884431473215
2013-01-30,6065.0,6071.9501953125,6044.14990234375,6055.75,20,0.0009669742889437671
2013-01-31,6045.64990234375,6058.0498046875,6025.14990234375,6034.75,21,-0.003467778557569301
2013-02-01,6040.9501953125,6052.9501953125,5983.2001953125,5998.89990234375,22,-0.005940610241724986
2013-02-04,6025.2001953125,6038.5,5981.25,5987.25,23,-0.0019420064567502449
2013-02-05,5948.2001953125,5970.35009765625,5946.89990234375,5956.89990234375,24,-0.00506912149254668
2013-02-06,5988.0498046875,5990.89990234375,5953.14990234375,5959.2001953125,25,0.0003861560554081489
2013-02-07,5936.4501953125,5978.5,5927.60009765625,5938.7998046875,26,-0.0034233437300943415
2013-02-08,5929.10009765625,5953.7001953125,5883.64990234375,5903.5,27,-0.005943929051058117
2013-02-11,5920.0498046875,5924.14990234375,5879.10009765625,5897.85009765625,28,-0.0009570428294656264
2013-02-12,5894.35009765625,5927.64990234375,5886.4501953125,5922.5,29,0.004179472508727411
2013-02-13,5943.14990234375,5969.5,5922.9501953125,5932.9501953125,30,0.0017644905550864287
2013-02-14,5933.2001953125,5940.2001953125,5884.5498046875,5896.9501953125,31,-0.006067807551872417
2013-02-15,5869.9501953125,5899.9501953125,5853.89990234375,5887.39990234375,32,-0.0016195308850228685
2013-02-18,5888.64990234375,5911.0,5878.4501953125,5898.2001953125,33,0.0018344758548591855
2013-02-19,5900.2001953125,5947.5498046875,5883.14990234375,5939.7001953125,34,0.007036044662061647
2013-02-20,5966.2998046875,5971.0,5937.5498046875,5943.0498046875,35,0.0005639357652500454
2013-02-21,5909.64990234375,5921.14990234375,5844.39990234375,5852.25,36,-0.015278317980085387
2013-02-22,5837.9501953125,5873.7998046875,5835.7998046875,5850.2998046875,37,-0.0003332385514118741
2013-02-25,5870.5498046875,5878.39990234375,5825.0,5854.75,38,0.0007606781636959603
